SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
129485,12,2,2,16.6666666666667,16.6666666666667,69.5384615384615,73.945945945946,1,,0,156,140,89.74,,,0
129487,12,0,0,0,0,76.9230769230769,84.8648648648649,1,,0,156,146,93.59,,,0
129575,12,0,0,0,0,75.3846153846154,72.1081081081081,1,,0,156,142,91.03,,,0
129586,12,2,4,16.6666666666667,33.3333333333333,83.3,84.1,1,,0,164,150,91.46,,,0
129608,37,11,17,29.7297297297297,45.945945945946,82.8571428571429,88.3157894736842,1,1,1,302,264,87.42,Initiated By School ,Unreachable ,1
129966,12,2,2,16.6666666666667,16.6666666666667,62.9752066115702,65.8378378378378,1,,0,168,140,83.33,,,0
130119,27,2,25,7.40740740740741,92.5925925925926,41.8461538461539,49.0810810810811,1,1,1,330,262,79.39,Initiated By School ,Unreachable ,1
130154,12,3,3,25,25,97.1428571428571,91.7894736842105,1,,0,154,150,97.4,,,0
130189,12,0,0,0,0,65.1428571428572,57.2631578947368,1,,0,165,130,78.79,,,0
130284,12,0,0,0,0,75.5675675675676,73.7142857142857,1,,0,154,135,87.66,,,0
130386,12,1,0,8.33333333333333,0,91.3846153846154,94.0540540540541,1,,0,156,133,85.26,,,0
130452,12,2,2,16.6666666666667,16.6666666666667,95.1428571428571,94.6315789473684,1,,0,154,145,94.16,,,0
130643,12,0,0,0,0,72.5714285714286,75.6666666666667,1,,0,167,149,89.22,,,0
130732,12,1,0,8.33333333333333,0,71.0769230769231,76.6486486486487,1,,0,171,124,72.51,,,0
130733,12,0,0,0,0,67.7837837837838,72.734693877551,1,,0,172,136,79.07,,,0
130864,12,0,3,0,25,93.1428571428571,93.1578947368421,1,,0,151,133,88.08,,,0
131331,12,2,2,16.6666666666667,16.6666666666667,75.4285714285714,64.9473684210526,1,,0,160,124,77.5,,,0
131631,12,0,0,0,0,65.1428571428572,62.1052631578947,1,,0,158,151,95.57,,,0
132126,12,0,0,0,0,80.9230769230769,78.4864864864865,1,,0,166,159,95.78,,,0
132164,12,0,1,0,8.33333333333333,68.9230769230769,63.7837837837838,1,,0,156,150,96.15,,,0
132306,37,2,4,5.40540540540541,10.8108108108108,82.72,83.4594594594595,1,1,1,336,280,83.33,Initiated By School ,Unreachable ,1
132808,12,1,1,8.33333333333333,8.33333333333333,80,85.4736842105263,1,,0,147,118,80.27,,,0
132809,12,1,1,8.33333333333333,8.33333333333333,56.7,69.1,1,,0,164,139,84.76,,,0
132905,12,1,0,8.33333333333333,0,72.1,77.7142857142857,1,,0,145,114,78.62,,,0
132906,12,1,0,8.33333333333333,0,62.1621621621622,63.2258064516129,1,,0,139,115,82.73,,,0
132925,12,0,0,0,0,70,68.2105263157895,1,,0,151,125,82.78,,,0
132948,12,2,3,16.6666666666667,25,75.6923076923077,77.945945945946,1,,0,164,140,85.37,,,0
132990,12,1,1,8.33333333333333,8.33333333333333,48.3076923076923,52.8648648648649,1,,0,165,112,67.88,,,0
133033,36,15,15,41.6666666666667,41.6666666666667,74.5714285714286,60.1052631578947,1,1,1,294,220,74.83,Others,IA,1
133066,12,0,0,0,0,78,65.8947368421053,1,,0,151,130,86.09,,,0
133217,14,1,1,7.14285714285714,7.14285714285714,35.3333333333333,0,1,,0,154,32,20.78,,,0
133218,12,7,6,58.3333333333333,50,69.76,67.8918918918919,1,,0,153,117,76.47,,,0
133219,12,3,3,25,25,98.1538461538462,97.6216216216216,1,,0,165,149,90.3,,,0
133236,12,0,1,0,8.33333333333333,97.8571428571429,98.5263157894737,1,,0,169,165,97.63,,,0
133333,12,0,0,0,0,80.2857142857143,75.6842105263158,1,,0,162,145,89.51,,,0
133502,12,1,2,8.33333333333333,16.6666666666667,72.9230769230769,78.3783783783784,1,,0,156,149,95.51,,,0
134073,12,3,3,25,25,72,69.3333333333333,1,,0,166,139,83.73,,,0
134222,38,16,16,42.1052631578947,42.1052631578947,75.52,75.4594594594595,1,1,1,342,280,81.87,Others,IA,1
134222,38,16,16,42.1052631578947,42.1052631578947,75.52,75.4594594594595,1,1,1,342,280,81.87,Initiated By School ,Unreachable ,1
134314,12,0,0,0,0,89.5384615384615,91.6756756756757,1,,0,162,158,97.53,,,0
134400,12,0,0,0,0,67.3846153846154,63.7837837837838,1,,0,156,128,82.05,,,0
134780,29,8,9,27.5862068965517,31.0344827586207,78.8108108108108,82.2857142857143,1,1,1,318,306,96.23,Initiated By School ,Unreachable ,1
134780,29,8,9,27.5862068965517,31.0344827586207,78.8108108108108,82.2857142857143,1,1,1,318,306,96.23,Initiated By School ,Unreachable ,1
134795,37,2,4,5.40540540540541,10.8108108108108,87,87.1578947368421,1,1,1,338,268,79.29,Initiated By School ,Unreachable ,1
134797,37,18,17,48.6486486486487,45.945945945946,90,88.1052631578947,1,1,1,302,282,93.38,Initiated By School ,Unreachable ,1
134797,37,18,17,48.6486486486487,45.945945945946,90,88.1052631578947,1,1,1,302,282,93.38,Initiated By School ,Unreachable ,1
134905,37,2,10,5.40540540540541,27.027027027027,75.7142857142857,71.6842105263158,1,1,1,316,216,68.35,Initiated By School ,Unreachable ,1
134968,12,1,2,8.33333333333333,16.6666666666667,80.4,80.3448275862069,1,,0,144,138,95.83,,,0
135191,12,0,0,0,0,92.5714285714286,85.6842105263158,1,,0,151,132,87.42,,,0
135319,37,20,19,54.0540540540541,51.3513513513514,68.5,74.1,1,1,1,332,260,78.31,Others,IA,1
135319,37,20,19,54.0540540540541,51.3513513513514,68.5,74.1,1,1,1,332,260,78.31,Initiated By School ,Unreachable ,1
135320,37,20,19,54.0540540540541,51.3513513513514,54,61.2631578947368,1,1,1,326,260,79.75,Others,IA,1
135320,37,20,19,54.0540540540541,51.3513513513514,54,61.2631578947368,1,1,1,326,260,79.75,Initiated By School ,Unreachable ,1
135341,12,0,0,0,0,65.8461538461538,72.48,1,,0,140,117,83.57,,,0
135482,12,3,2,25,16.6666666666667,84.7142857142857,80.6315789473684,1,,0,167,159,95.21,,,0
